,REGIONC,UR,KWH
1233,4,1,2
1234,1,1,3
1235,2,1,6
1236,3,2,26
1237,2,1,5
1238,4,2,10
1239,3,1,14
1240,1,1,9
1241,4,1,20
1242,3,1,14
1243,4,1,2
1244,1,1,14
1245,2,2,9
1246,3,1,8
1247,4,1,15
1248,4,1,2
1249,1,1,9
1250,2,1,10
1251,2,2,12
1252,3,1,7
1253,3,1,15
1254,3,1,5
1255,4,1,4
1256,4,1,10
1257,1,1,9
1258,4,1,10
1259,3,2,24
1260,2,2,6
1261,2,1,8
1262,3,2,16
1263,3,2,17
1264,3,2,23
1265,3,1,15
1266,2,2,46
1267,2,1,9
1268,2,1,19
1269,3,1,13
1270,3,2,28
1271,4,1,16
1272,1,1,9
1273,4,1,26
1274,4,2,16
1275,3,2,38
1276,1,1,5
1277,1,1,7
1278,4,1,9
1279,4,1,2
1280,2,1,12
1281,3,1,2
1282,1,1,5
1283,3,1,15
1284,3,1,10
1285,1,1,11
1286,3,1,8
1287,1,1,5
1288,3,2,11
1289,2,1,10
1290,4,1,2
1291,3,1,9
1292,3,1,9
1293,3,1,15
1294,3,1,5
1295,1,1,5
1296,4,1,7
1297,2,1,6
1298,1,1,17
1299,4,1,4
1300,4,1,3
1301,3,2,17
1302,2,1,7
1303,4,2,5
1304,2,1,12
1305,4,1,18
1306,4,2,7
1307,4,1,4
1308,3,1,15
1309,2,2,0
1310,3,1,12
1311,4,1,4
1312,2,1,11
1313,2,1,5
1314,2,1,5
1315,2,1,8
1316,3,1,24
1317,1,1,6
1318,2,1,15
1319,2,2,20
1320,2,1,3
1321,1,1,3
1322,1,1,8
1323,4,1,10
1324,2,2,10
1325,1,1,3
1326,3,2,9
1327,3,1,31
1328,3,1,29
1329,3,2,26
1330,3,2,10
1331,4,1,13
1332,3,2,14
1333,4,1,13
1334,1,1,10
1335,4,1,12
1336,3,2,9
1337,3,2,27
1338,2,1,7
1339,4,1,17
1340,4,1,3
1341,4,1,8
1342,3,1,9
1343,4,1,12
1344,2,1,13
1345,4,2,8
1346,1,1,8
1347,3,1,9
1348,1,1,5
1349,2,1,9
1350,4,1,14
1351,1,1,2
1352,1,1,4
1353,3,1,23
1354,4,1,9
1355,3,2,14
1356,1,1,4
1357,4,1,6
1358,1,1,9
1359,1,2,6
1360,4,1,3
1361,1,1,15
1362,3,1,60
1363,2,1,10
1364,1,2,11
1365,3,2,25
1366,1,1,4
1367,2,2,10
1368,3,1,4
1369,1,1,7
1370,2,1,9
1371,3,1,23
1372,4,1,17
1373,3,1,4
1374,4,1,6
1375,4,1,6
1376,4,1,6
1377,2,1,43
1378,4,1,29
1379,3,2,20
1380,3,1,9
1381,3,1,7
1382,2,1,6
1383,4,1,6
1384,1,1,7
1385,2,1,4
1386,3,1,7
1387,1,1,2
1388,3,2,16
1389,4,2,21
1390,3,1,27
1391,2,1,10
1392,3,2,12
1393,4,1,10
1394,4,1,8
1395,2,1,12
1396,2,1,6
1397,4,1,3
1398,1,1,7
1399,2,1,11
1400,4,1,7
1401,1,1,2
1402,3,1,12
1403,3,1,15
1404,2,1,34
1405,4,1,9
1406,2,1,4
1407,2,1,31
1408,2,1,24
1409,2,1,13
1410,1,1,5
1411,4,2,3
1412,3,1,7
1413,4,1,4
1414,3,1,22
1415,1,1,3
1416,4,1,2
1417,3,2,18
1418,2,1,5
1419,4,2,17
1420,3,1,5
1421,2,1,16
1422,1,1,5
1423,3,1,10
1424,4,1,5
1425,4,2,14
1426,4,1,6
1427,4,1,5
1428,4,1,3
1429,1,1,8
1430,4,1,13
1431,2,2,9
1432,1,1,10
1433,1,1,4
1434,4,1,1
1435,1,1,6
1436,2,1,10
1437,1,1,6
1438,4,1,10
1439,3,1,12
1440,2,1,10
1441,3,1,8
1442,1,1,15
1443,4,1,8
1444,3,1,18
1445,4,1,15
1446,3,2,17
1447,3,2,17
1448,4,1,1
1449,4,2,11
1450,4,1,9
1451,3,2,10
1452,2,1,1
1453,2,1,12
1454,4,1,13
1455,2,1,4
1456,2,2,7
1457,3,1,15
1458,1,1,6
1459,1,1,2
1460,2,1,10
1461,4,1,6
1462,3,1,28
1463,3,1,14
1464,3,1,14
1465,3,2,17
1466,3,1,11
1467,3,2,11
1468,4,1,4
1469,3,1,12
1470,3,1,8
1471,3,1,18
1472,4,1,3
1473,4,1,11
1474,2,1,4
1475,3,2,30
1476,1,2,9
1477,3,1,25
1478,3,1,27
1479,2,2,15
1480,1,1,5
1481,1,1,4
1482,4,2,10
1483,3,1,7
1484,4,1,3
1485,4,1,8
1486,2,1,29
1487,1,1,18
1488,2,1,1
1489,4,1,6
1490,1,1,5
1491,4,1,9
1492,2,1,8
1493,4,1,7
1494,1,1,9
1495,1,2,10
1496,1,1,11
1497,2,2,7
1498,3,1,19
1499,3,2,11
1500,2,1,6
1501,4,1,16
1502,1,1,7
1503,3,1,17
1504,3,2,9
1505,3,1,14
1506,3,1,14
1507,3,1,14
1508,3,1,22
1509,4,1,6
1510,2,2,17
1511,3,1,10
1512,3,2,11
1513,4,1,8
1514,2,1,15
1515,4,1,11
1516,2,1,8
1517,1,2,7
1518,3,1,8
1519,2,1,7
1520,4,1,7
1521,4,1,7
1522,3,1,6
1523,3,1,24
1524,3,1,21
1525,1,2,17
1526,4,1,2
1527,4,1,11
1528,1,1,10
1529,2,2,7
1530,3,1,16
1531,4,1,3
1532,2,1,5
1533,4,1,6
1534,3,1,30
1535,4,1,8
1536,4,1,12
1537,1,1,9
1538,3,1,17
1539,2,2,15
1540,1,1,6
1541,1,1,5
1542,3,2,12
1543,3,2,32
1544,1,1,8
1545,2,1,23
1546,4,1,9
1547,4,2,19
1548,2,1,8
1549,3,1,17
1550,3,1,3
1551,2,2,18
1552,3,2,16
1553,1,1,5
1554,3,2,8
1555,3,1,15
1556,3,2,16
1557,4,1,23
1558,3,1,7
1559,1,2,7
1560,1,1,9
1561,2,1,8
1562,3,2,13
1563,3,1,14
1564,2,2,12
1565,2,1,6
1566,3,1,19
1567,4,1,11
1568,3,1,14
1569,3,1,8
1570,3,1,13
1571,4,1,5
1572,3,1,11
1573,3,1,12
1574,1,2,6
1575,2,2,8
1576,3,2,11
1577,4,1,6
1578,1,1,12
1579,1,1,21
1580,2,1,6
1581,2,2,13
1582,4,2,4
1583,4,1,5
1584,3,1,6
1585,4,1,3
1586,3,1,13
1587,3,2,22
1588,2,1,11
1589,4,1,9
1590,3,1,15
1591,2,1,18
1592,1,1,2
1593,1,1,2
1594,3,1,26
1595,4,1,4
1596,2,1,6
1597,1,1,3
1598,1,1,7
1599,4,1,9
1600,1,1,4
1601,3,1,14
1602,3,2,13
1603,1,1,11
1604,2,1,32
1605,3,1,13
1606,2,2,10
1607,2,1,20
1608,1,1,12
1609,3,1,6
1610,1,1,6
1611,4,1,5
1612,4,2,18
1613,2,1,8
1614,3,1,22
1615,2,1,3
1616,3,2,7
1617,1,1,11
1618,2,1,8
1619,4,1,6
1620,2,1,6
1621,4,1,7
1622,2,1,11
1623,1,1,4
1624,4,1,2
1625,1,1,8
1626,4,2,19
1627,1,1,10
1628,2,1,6
1629,4,1,14
1630,1,1,8
1631,4,1,5
1632,4,1,8
1633,4,1,3
1634,2,1,15
1635,3,1,19
1636,1,1,1
1637,2,2,7
1638,1,1,9
1639,4,1,5
1640,4,1,7
1641,3,2,30
1642,3,2,8
1643,3,1,4
1644,4,1,9
1645,2,1,8
1646,2,1,10
1647,3,1,11
1648,4,1,15
1649,2,2,9
1650,2,1,8
1651,4,2,5
1652,4,1,5
1653,3,2,28
1654,2,1,5
1655,1,1,7
1656,1,2,13
1657,3,2,14
1658,1,1,6
1659,2,1,9
